Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
BA.1,2021-07-12,18189,0,13994.4285714286,0.142857142857143,1.02081440573289e-05,3.50883076914836e-08,0.000179482120255928
BA.1,2021-07-13,17975,0,14414.4285714286,0.142857142857143,9.9107045519866e-06,3.40659104799079e-08,0.000174252856005266
BA.1,2021-07-14,16590,0,14350.7142857143,0.142857142857143,9.95470608730277e-06,3.42154551091448e-08,0.000175017734964587
BA.1,2021-07-15,23132,0,15609.5714285714,0.142857142857143,9.15189398446008e-06,3.14559056271193e-08,0.000160903316562974
BA.1,2021-07-16,17953,0,16176.8571428571,0.142857142857143,8.8309578056836e-06,3.03534006748514e-08,0.000155264218601858
BA.1,2021-07-17,11908,0,16448.2857142857,0,0,2.98533005766707e-08,0.000152706293571246
BA.1,2021-07-18,10948,0,16670.7142857143,0,0,2.94539732360242e-08,0.000150663798977033
BA.1,2021-07-19,23902,0,17486.8571428571,0,0,2.80795752143281e-08,0.000143633944072639
BA.1,2021-07-20,26034,0,18638.1428571429,0,0,2.63455287952156e-08,0.000134764467099831
BA.1,2021-07-21,21737,0,19373.4285714286,0,0,2.53460081456807e-08,0.000129651981489567
BA.1,2021-07-22,21999,0,19211.5714285714,0,0,2.55584094664562e-08,0.000130738403143593
BA.1,2021-07-23,20871,0,19628.4285714286,0,0,2.50167260165586e-08,0.000127967718255352
BA.1,2021-07-24,17006,1,20356.7142857143,0.142857142857143,7.01769160052492e-06,2.41208686152652e-08,0.000123385433758389
BA.1,2021-07-25,15678,0,21032.4285714286,0.142857142857143,6.7922324030239e-06,2.33467438236399e-08,0.000119425791098638
BA.1,2021-07-26,27960,0,21612.1428571429,0.142857142857143,6.61004065175001e-06,2.27201958590364e-08,0.000116220991342493
BA.1,2021-07-27,26824,0,21725,0.142857142857143,6.57570277823442e-06,2.2602020827476e-08,0.000115616523601424
BA.1,2021-07-28,25973,0,22330.1428571429,0.142857142857143,6.39750241505716e-06,2.19896576695705e-08,0.000112484267463711
BA.1,2021-07-29,27351,1,23094.7142857143,0.285714285714286,1.23714146094035e-05,2.12612789808683e-08,0.000108758575597721
BA.1,2021-07-30,25271,1,23723.2857142857,0.428571428571429,1.80654329983199e-05,2.06984520860695e-08,0.000105879679601087
BA.1,2021-07-31,18196,0,23893.2857142857,0.285714285714286,1.19579319952407e-05,2.05511830126695e-08,0.000105126387378196
BA.1,2021-08-01,16234,0,23972.7142857143,0.285714285714286,1.19183118903039e-05,2.04826026326338e-08,0.000104775593455383
BA.1,2021-08-02,29049,0,24128.2857142857,0.285714285714286,1.18414664472048e-05,2.03510222899888e-08,0.000104102549550233
BA.1,2021-08-03,31016,0,24727.1428571429,0.285714285714286,1.15546825350973e-05,1.98580332911389e-08,0.000101580867604199
BA.1,2021-08-04,29545,0,25237.4285714286,0.285714285714286,1.13210537636843e-05,1.94567377125135e-08,9.95282008389657e-05
BA.1,2021-08-05,29365,0,25525.1428571429,0.142857142857143,5.59672255926929e-06,1.92372084066829e-08,9.84052848467486e-05
BA.1,2021-08-06,27629,0,25862,0,0,1.89865365132208e-08,9.71230696294183e-05
BA.1,2021-08-07,22479,0,26473.8571428571,0,0,1.85476285078027e-08,9.48780013558457e-05
BA.1,2021-08-08,17893,0,26710.8571428571,0,0,1.83830615962129e-08,9.4036220120219e-05
BA.1,2021-08-09,28670,0,26656.7142857143,0,0,1.84203004467232e-08,9.42267017571164e-05
BA.1,2021-08-10,32811,0,26913.1428571429,0,0,1.82450857528433e-08,9.3330455114226e-05
BA.1,2021-08-11,25413,1,26322.8571428571,0.142857142857143,5.4271138608488e-06,1.86540246353461e-08,9.54222310635606e-05
BA.1,2021-08-12,27696,2,26084.4285714286,0.428571428571429,1.64301635896621e-05,1.88249443202658e-08,9.62965063509562e-05
BA.1,2021-08-13,24743,0,25672.1428571429,0.428571428571429,1.66940263209148e-05,1.91270556297231e-08,9.78418410831048e-05
BA.1,2021-08-14,20187,0,25344.7142857143,0.428571428571429,1.69096965836776e-05,1.93738295643029e-08,9.91041169197563e-05
BA.1,2021-08-15,33575,0,27585,0.428571428571429,1.55363940029519e-05,1.78006200506415e-08,9.10569498793377e-05
BA.1,2021-08-16,34218,0,28377.5714285714,0.428571428571429,1.5102470260719e-05,1.730320066534e-08,8.85125729218082e-05
BA.1,2021-08-17,36067,0,28842.7142857143,0.428571428571429,1.48589146058178e-05,1.70242449910053e-08,8.70856687350565e-05
BA.1,2021-08-18,36636,0,30446,0.285714285714286,9.38429631854055e-06,1.61279157402534e-08,8.25007832943602e-05
BA.1,2021-08-19,34189,0,31373.5714285714,0,0,1.56508778594745e-08,8.00606401191741e-05
BA.1,2021-08-20,29261,0,32019,0,0,1.53356045138626e-08,7.84479512714866e-05
BA.1,2021-08-21,20781,0,32103.8571428571,0,0,1.52950015917347e-08,7.82402586761409e-05
BA.1,2021-08-22,15245,0,29485.2857142857,0,0,1.66535659157828e-08,8.51895811044425e-05
BA.1,2021-08-23,32693,0,29267.4285714286,0,0,1.67776116469037e-08,8.58240968736874e-05
BA.1,2021-08-24,34528,0,29047.5714285714,0,0,1.69041010888369e-08,8.64711122548503e-05
BA.1,2021-08-25,28994,0,27955.8571428571,0,0,1.75643927308654e-08,8.98486114688246e-05
BA.1,2021-08-26,28721,0,27174.7142857143,0,0,1.8069182588525e-08,9.24306860567309e-05
BA.1,2021-08-27,28082,0,27006.2857142857,0,0,1.81822561090051e-08,9.30090728946079e-05
BA.1,2021-08-28,18579,0,26691.7142857143,0,0,1.83961469711738e-08,9.4103153562452e-05
BA.1,2021-08-29,14935,0,26647.4285714286,0,0,1.84272130906084e-08,9.42620608523361e-05
BA.1,2021-08-30,32962,0,26685.8571428571,0,0,1.84002830712779e-08,9.41243102345322e-05
BA.1,2021-08-31,36373,0,26949.4285714286,0,0,1.82207131577263e-08,9.32057859776585e-05
