index,date,fac_aggregate_cases,fac_aggregate_cases_per_pop,cum_risk_factor,cum_risk_factor_u,hosp_risk_lower,hosp_risk_upper,death_risk_lower,death_risk_upper,f_risk
5880,18676,126,0.001795383300085,0.607288401253918,1.82186520376175,0.002288030312376,0.016694910216923,5.30272086206896E-05,0.000114638371991,Medium Risk
5894,18675,126,0.001795383300085,0.607288401253918,1.82186520376176,0.002288030312376,0.016694910216923,5.30272086206897E-05,0.000114638371991,Medium Risk
3038,18879,127,0.001809632373896,0.612108150470219,1.83632445141066,0.002306189283109,0.016827409504359,5.34480594827586E-05,0.000115548200341,Medium Risk
5908,18674,127,0.001809632373896,0.612108150470219,1.83632445141066,0.002306189283109,0.016827409504359,5.34480594827586E-05,0.000115548200341,Medium Risk
504,19060,128,0.001823881447706,0.61692789968652,1.85078369905956,0.002324348253842,0.016959908791794,5.38689103448276E-05,0.00011645802869,Medium Risk
5922,18673,129,0.001838130521516,0.621747648902821,1.86524294670846,0.002342507224575,0.01709240807923,5.42897612068965E-05,0.000117367857039,Medium Risk
2534,18915,130,0.001852379595326,0.626567398119122,1.87970219435737,0.002360666195308,0.017224907366666,5.47106120689655E-05,0.000118277685388,Medium Risk
2632,18908,130,0.001852379595326,0.626567398119122,1.87970219435737,0.002360666195308,0.017224907366666,5.47106120689655E-05,0.000118277685388,Medium Risk
5320,18716,130,0.001852379595326,0.626567398119122,1.87970219435737,0.002360666195308,0.017224907366666,5.47106120689655E-05,0.000118277685388,Medium Risk
5936,18672,130,0.001852379595326,0.626567398119122,1.87970219435737,0.002360666195308,0.017224907366666,5.47106120689655E-05,0.000118277685388,Medium Risk
238,19079,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
252,19078,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
266,19077,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
2590,18911,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
2604,18910,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
2618,18909,131,0.001866628669137,0.631387147335423,1.89416144200627,0.002378825166041,0.017357406654102,5.51314629310345E-05,0.000119187513737,Medium Risk
