"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0113681765213312.","X.0.0341817122448053.","X.4.28309390127266e.05.","X.0.000312521507016888.","X.9.94892916597304e.07.","X.2.14598079960879e.06.","X.Low.Risk."
"561","19054","197","0.00280706754060986","0.213655313112737","0.644599924771359","0.000804971462969957","0.00587357878467733","1.87617254103952e-05","4.03319036095201e-05","Medium Risk"
"575","19053","200","0.00284981476204047","0.216796977234685","0.654461398648333","0.000816808051199662","0.005959945987376","1.90487534690584e-05","4.09249583419012e-05","Medium Risk"
"589","19052","220","0.00313479623824451","0.238415242767177","0.719956951498063","0.000898257403331526","0.0065542517593376","2.09550670303026e-05","4.5005857566726e-05","Medium Risk"
"603","19051","254","0.00361926474779139","0.275113738962584","0.831249114363921","0.00103652329403571","0.00756312678117789","2.41943367226763e-05","5.19334653551947e-05","Medium Risk"
"617","19050","254","0.00361926474779139","0.274957518566551","0.831388934554939","0.00103593471536239","0.00755883214047599","2.41984063291561e-05","5.19039754919994e-05","Medium Risk"
"631","19049","254","0.00361926474779139","0.274753141959849","0.831511877744857","0.00103516470251461","0.00755321364176552","2.42019847136418e-05","5.18653951380571e-05","Medium Risk"
"645","19048","301","0.0042889712168709","0.325361849914103","0.985690887547493","0.00122583894827726","0.00894449303018488","2.86895189729573e-05","6.14188459803317e-05","Medium Risk"
"659","19047","325","0.00463094898831576","0.351105653844393","1.0648960351078","0.00132283175042322","0.00965221360309689","3.09948639978477e-05","6.6278526760238e-05","Medium Risk"
"673","19046","351","0.00500142490738102","0.378741065540955","1.15065894099688","0.00142695140679433","0.0104119361931038","3.34910791366552e-05","7.14952880217145e-05","Medium Risk"
"687","19045","315","0.00448845825021374","0.339658449459246","1.03286506218799","0.00127970306466025","0.009337519548262","3.00625705000436e-05","6.41176278004418e-05","Medium Risk"
"701","19044","438","0.00624109432886862","0.471960242292959","1.43644263736235","0.00177816559376528","0.012974616104587","4.18090994030685e-05","8.90923549822575e-05","Medium Risk"
"715","19043","438","0.00624109432886862","0.471416137458859","1.4371708656042","0.00177611561495627","0.0129596581680693","4.1830295214276e-05","8.89896438284711e-05","Medium Risk"
"729","19042","438","0.00624109432886862","0.470800484486145","1.43824300190599","0.0017737960701394","0.0129427333081789","4.18615008134757e-05","8.88734264688807e-05","Medium Risk"
"743","19041","511","0.00728127671701339","0.5482024498826","1.67940283176212","0.00206541705729949","0.0150705837005774","4.88806988212684e-05","0.000103484664364519","Medium Risk"
"757","19040","560","0.00797948133371331","0.599357772417902","1.8422163876409","0.00225815073763728","0.0164768900207396","5.36195501786761e-05","0.000113141300127745","Medium Risk"
"771","19039","632","0.00900541464804788","0.674488135563946","2.08055877225426","0.00254121319676379","0.0185422920022333","6.05567436252324e-05","0.000127323725644847","Medium Risk"
"785","19038","666","0.00948988315759476","0.709736778799273","2.19371369595358","0.00267401659631171","0.0195113092481861","6.38502308344248e-05","0.000133977643399672","Medium Risk"
"799","19037","806","0.0114847534910231","0.857903661693811","2.65728048832562","0.00323225271386794","0.0235845515527288","7.73428058932056e-05","0.0001619472377522","Medium Risk"
"813","19036","806","0.0114847534910231","0.856734292303407","2.66035169213038","0.00322784697747303","0.0235524045251503","7.74321963511469e-05","0.000161726494851634","Medium Risk"
"827","19035","806","0.0114847534910231","0.853406925062742","2.66526151043502","0.00321531073095272","0.0234609321749013","7.75751015227218e-05","0.000161098384776257","Medium Risk"
"841","19034","845","0.012040467369621","0.891330300972349","2.79967325563138","0.00335819149971042","0.0245034802535839","8.14872897784069e-05","0.000168257214198518","Medium Risk"
"855","19033","911","0.0129809062410943","0.956826627921726","3.02877787653924","0.00360495659698548","0.0263040338220372","8.81556088745512e-05","0.000180621014128483","Medium Risk"
"869","19032","997","0.0142063265887717","1.04223026320475","3.32922520304121","0.00392672481437801","0.0286518573936794","9.69004287597174e-05","0.000196742734370094","High Risk"
"883","19031","1029","0.0146622969506982","1.07334278321354","3.4455970920458","0.00404394488432751","0.0295071688521175","0.000100287548961085","0.000202615872462297","High Risk"
"897","19030","1246","0.0177543459675121","1.29779013161356","4.17913372857212","0.00488957660660516","0.0356774304975362","0.00012163786630382","0.000244984998177909","High Risk"
"911","19029","1246","0.0177543459675121","1.29424182059224","4.19031615367909","0.00487620792846514","0.0355798842019039","0.000121963341968983","0.000244315180348416","High Risk"
"925","19028","1246","0.0177543459675121","1.28767893571171","4.21267686717373","0.0048514814895734","0.0353994645304297","0.000122614172895958","0.000243076298728553","High Risk"
"939","19027","1348","0.0192077514961527","1.38355217755649","4.59254117229414","0.00521269517821563","0.0380351071040389","0.000133670503360793","0.000261174375918777","High Risk"
"953","19026","1458","0.020775149615275","1.48109581365645","5.02031485793228","0.00558020227322225","0.0407166703342249","0.000146121284254977","0.000279587774919202","High Risk"
"967","19025","1440","0.0205186662866914","1.44709956047617","5.02362471816244","0.00545211740016512","0.0397820824293931","0.000146217621046836","0.000273170271949695","High Risk"
"981","19024","1963","0.0279709318894272","1.96104432276631","6.8942846651341","0.00738846459958227","0.0539108911554863","0.000200665049463393","0.000370188082138044","High Risk"
"995","19023","1768","0.0251923624964377","1.75567286219574","6.24748767947557","0.00661470352311169","0.0482650430077784","0.000181839376398816","0.000331419928745537","High Risk"
"1009","19022","1768","0.0251923624964377","1.73506071657068","6.32224840732178","0.00653704484579154","0.0476983963867034","0.000184015362143508","0.000327528955671084","High Risk"
"1023","19021","1768","0.0251923624964377","1.7090027046491","6.43270143263709","0.00643886822816849","0.0469820379504744","0.000187230207898335","0.000322609961569017","High Risk"
"1037","19020","1832","0.0261043032202907","1.73452723140122","6.80980869987208","0.00653503487781522","0.0476837303944209","0.000198206292018477","0.000327428249200845","High Risk"
"1051","19019","1836","0.0261612995155315","1.69618040506968","6.98453542095543","0.0063905587099042","0.0466295412786939","0.000203291887962329","0.000320189484665564","High Risk"
"1065","19018","1835","0.0261470504417213","1.6472147023867","7.1643871693344","0.0062060746792952","0.0452834295987856","0.000208526652950647","0.000310946185390623","High Risk"
"1079","19017","1936","0.0275862068965517","1.7130175309025","7.65296513266718","0.00645399455718737","0.0470924091739306","0.000222747203151411","0.000323367843894068","High Risk"
"1093","19016","2050","0.0292106013109148","1.79451197697928","8.17518694566486","0.00676103444553187","0.0493327655805742","0.000237946991240521","0.000338751623010037","High Risk"
"1107","19015","2050","0.0292106013109148","1.76282596586329","8.29122877468008","0.00664165368054121","0.0484616883302569","0.000241324504715838","0.000332770226491123","High Risk"
"1121","19014","2050","0.0292106013109148","1.71181318348075","8.48134957808424","0.00644945703695495","0.0470593005684729","0.00024685816081972","0.000323140498159394","High Risk"
"1135","19013","2063","0.0293958392704474","1.65556091914767","8.78572755696916","0.00623752003030688","0.0455128746848232","0.000255717386273144","0.000312521708156724","High Risk"
"1149","19012","2002","0.0285266457680251","1.54260054512963","8.76672993218973","0.00581192856615755","0.042407491314406","0.000255164441406314","0.000291198077818606","High Risk"
"1163","19011","2117","0.0301652892561983","1.57382617133961","9.48590678288259","0.00592957477699217","0.0432659121651359","0.000276096802822581","0.000297092567069071","High Risk"
"1177","19010","1631","0.02324023938444","1.19650211902457","7.37030453933536","0.00450796213380213","0.0328929309537736","0.000214520083921895","0.000225864769895153","High Risk"
"1191","19009","1795","0.0255770874893132","1.29205325571033","8.20682982914666","0.00486796225346118","0.0355197185637459","0.000238867989007143","0.000243902043007836","High Risk"
"1205","19008","1795","0.0255770874893132","1.26059420575063","8.32661680666885","0.004749436591259","0.0346548806819382","0.000242354508774903","0.000237963490148389","High Risk"
"1219","19007","1795","0.0255770874893132","1.22908972904339","8.44372735415055","0.00463073977845496","0.0337887939775445","0.000245763128369906","0.000232016362041379","High Risk"
"1233","19006","1771","0.0252351097178683","1.17678701456633","8.46838810722725","0.00443368316433893","0.0323509448098462","0.000246480904248956","0.000222143132080129","High Risk"
"1247","19005","1757","0.0250356226845255","1.14528730219504","8.48856442057548","0.00431500430172965","0.0314849890813789","0.00024706815602527","0.000216196903341057","High Risk"
"1261","19004","1708","0.0243374180678256","1.09984970973684","8.30488696747476","0.00414381284038924","0.0302358683588416","0.00024172204007532","0.000207619608573265","High Risk"
"1275","19003","1662","0.0236819606725563","1.06571118517147","8.0986305962923","0.00401519194319432","0.0292973692842994","0.000235718742135684","0.000201175248907773","High Risk"
"1289","19002","1300","0.018523795953263","0.830326021253539","6.34725416541627","0.00312835071748392","0.0228264171470753","0.000184743179738606","0.000156741382022189","Medium Risk"
