"","X.18438.","X.15.","X.0.000213736107153035.","X.0.117554858934169.","X.0.352664576802508.","X.0.000442901725198537.","X.0.00323168993746082.","X.1.02646551724138e.05.","X.2.21909353448276e.05.","X.Medium.Risk."
"1247","19005","1757","0.0250356226845255","14.5265017622546","43.5795052867638","0.054730299963229","0.399346739022283","0.00126842508087655","0.00274218066624737","High Risk"
"1261","19004","1708","0.0243374180678256","13.8914588276872","41.6743764830615","0.0523377011898124","0.381888831453814","0.00121297440191599","0.00262230304630086","High Risk"
"1275","19003","1662","0.0236819606725563","13.440678290738","40.322034872214","0.0506393326212063","0.36949646470292","0.00117361314699066","0.00253720880314629","High Risk"
"1289","19002","1300","0.018523795953263","10.4577755965067","31.37332678952","0.0394008966998613","0.287493757977115","0.00091315204953577","0.00197412360677285","High Risk"
"1303","19001","1300","0.018523795953263","10.4007460302442","31.2022380907327","0.0391860311169839","0.285925963356806","0.000908172341868867","0.00196335808479317","High Risk"
"1317","19000","1300","0.018523795953263","10.3514692978982","31.0544078936947","0.0390003752456225","0.284571301188714","0.000903869596153878","0.00195405607217193","High Risk"
"1331","18999","1162","0.0165574237674551","9.19816661474835","27.5944998442451","0.0346551720556018","0.25286596199836","0.000803165512466596","0.00173634609823433","High Risk"
"1345","18998","1093","0.0155742376745512","8.62443710150736","25.8733113045221","0.0324935787916938","0.237093616120224","0.00075306859882942","0.00162804266740056","High Risk"
"1359","18997","972","0.0138500997435167","7.65655625899063","22.9696687769719","0.0288469741440941","0.210485691889938","0.000668555179422544","0.00144533493934473","High Risk"
"1373","18996","915","0.0130379025363351","7.20247591428035","21.6074277428411","0.0271361731625409","0.198002610423941","0.000628905791883132","0.00135961778854227","High Risk"
"1387","18995","890","0.0126816756910801","7.00218796381604","21.0065638914481","0.0263815648069066","0.192496512590311","0.000611417048624489","0.00132180925387684","High Risk"
"1401","18994","890","0.0126816756910801","6.99704847733353","20.9911454320006","0.0263622011885043","0.192355223434764","0.000610968278943809","0.00132083906843939","High Risk"
"1415","18993","890","0.0126816756910801","6.99223371420149","20.9767011426045","0.0263440610034288","0.192222861219317","0.000610547863456646","0.00131993018131782","High Risk"
"1429","18992","819","0.0116699914505557","6.42933202374014","19.2879960712204","0.0242232628324053","0.176748182032621","0.000561396413648941","0.00121367072822693","High Risk"
"1443","18991","759","0.0108150470219436","5.95534341515378","17.8660302454613","0.0224374551306164","0.163717804294705","0.000520008676324398","0.00112419547673422","High Risk"
"1457","18990","720","0.0102593331433457","5.64739870669372","16.9421961200812","0.0212772373065356","0.155252124316458","0.000493119560271082","0.00106606448004742","High Risk"
"1471","18989","639","0.00910515816471929","5.01183737456569","15.0355121236971","0.0188826854094795","0.137779965527789","0.000437623615872327","0.000946089001732029","High Risk"
"1485","18988","627","0.00893416927899687","4.91729817310661","14.7518945193198","0.0185264978745298","0.135180996937116","0.000429368641879323","0.000928242752532708","High Risk"
"1499","18987","627","0.00893416927899687","4.9162960408753","14.7488881226259","0.0185227222237558","0.135153447411071","0.00042928113769715","0.000928053579139507","High Risk"
"1513","18986","627","0.00893416927899687","4.91605629166324","14.7481688749897","0.0185218189404666","0.135146856487283","0.00042926020327545","0.000928008321467368","High Risk"
"1527","18985","614","0.00874893131946423","4.81379747883216","14.4413924364965","0.0181365468638355","0.132335668762343","0.000420331168256667","0.000908704834358903","High Risk"
"1541","18984","607","0.00864918780279282","4.7587386550012","14.2762159650036","0.0179291062843203","0.130822051643015","0.000415523541877395","0.00089831133118198","High Risk"
